article_id,title,article,language,label
1,Scientists claim hot water cures all diseases,"A message circulating online claims that scientists have discovered that drinking hot water can cure every known disease. The message does not identify any scientific institution, research paper, clinical trial, or medical evidence to support the claim. Health experts generally advise people to rely on evidence-based medical guidance rather than unverified social media messages.",English,Fake
2,Aliens reportedly land in Chennai,"A social media post claims that unidentified alien spacecraft landed in Chennai and that government officials secretly confirmed contact with extraterrestrial beings. The post provides no verifiable photographs, official statement, scientific evidence, or independent reporting. The claim remains an unverified internet story.",English,Fake
3,Free gold promised to every citizen,An online message claims that every citizen will receive free gold from the government and asks readers to click a link to register. The message does not provide an official government notification or identifiable public scheme. Such claims should be checked against official government sources before being trusted or shared.,English,Fake
4,Miracle medicine advertised as instant cure,A viral advertisement claims that a newly discovered medicine can instantly cure every disease without medical treatment. The advertisement does not provide credible clinical evidence or details of an approved medical study. The claim is presented as a sensational promise rather than verified scientific information.,English,Fake
5,Government announces new education program,The government has announced a new education program aimed at improving learning opportunities for students. The program includes additional educational resources and support for participating institutions. Schools and students will receive further information through official education department communications.,English,Real
6,New metro project announced,"Government authorities have announced plans for a new metro project to improve urban transportation. The project is expected to support public transport connectivity and reduce pressure on existing road networks. Further details about routes, construction schedules, and implementation will be released through official channels.",English,Real
7,Police announce road safety measures,Police authorities have announced additional road safety measures to reduce traffic violations and improve safety for motorists and pedestrians. The measures include increased monitoring in selected areas and public awareness activities. Citizens have been advised to follow traffic rules and cooperate with enforcement teams.,English,Real
8,Education ministry announces scholarship support,The education ministry has announced scholarship support for eligible students. The program is intended to help students continue their studies and reduce financial barriers. Eligibility requirements and application procedures are expected to be communicated through official education department channels.,English,Real
9,தமிழகத்தில் புதிய கல்வித் திட்டம் அறிவிப்பு,மாணவர்களின் கல்வித் திறனை மேம்படுத்தும் நோக்கில் புதிய கல்வித் திட்டம் அறிவிக்கப்பட்டுள்ளதாக தகவல் வெளியாகியுள்ளது. இந்தத் திட்டத்தின் கீழ் கல்வி வளங்கள் மற்றும் மாணவர்களுக்கான ஆதரவு நடவடிக்கைகள் வழங்கப்பட உள்ளன. கூடுதல் விவரங்கள் அதிகாரப்பூர்வ கல்வித்துறை அறிவிப்புகள் மூலம் வெளியிடப்படும்.,Tamil,Real
10,நிலா பூமியில் விழுந்ததாக சமூக வலைதள பதிவு,"நிலா பூமியில் விழுந்ததாக சமூக வலைதளங்களில் ஒரு பதிவு பரவி வருகிறது. இந்த பதிவுக்கு அறிவியல் ஆதாரம், அதிகாரப்பூர்வ தகவல் அல்லது நம்பகமான செய்தி நிறுவனத்தின் உறுதிப்படுத்தல் எதுவும் வழங்கப்படவில்லை. எனவே இந்த தகவல் உண்மையற்றதாக கருதப்படுகிறது.",Tamil,Fake
11,भारत में नई शिक्षा योजना की घोषणा,सरकार ने छात्रों के लिए एक नई शिक्षा योजना की घोषणा की है। योजना का उद्देश्य विद्यार्थियों को बेहतर शैक्षणिक संसाधन और सहायता उपलब्ध कराना है। पात्रता और आवेदन से संबंधित जानकारी आधिकारिक विभागीय माध्यमों से जारी की जाएगी.,Hindi,Real
12,हर नागरिक को दस लाख रुपये देने का दावा,सोशल मीडिया पर एक संदेश में दावा किया गया है कि सरकार हर नागरिक को दस लाख रुपये देने जा रही है। संदेश में किसी आधिकारिक सरकारी अधिसूचना या विश्वसनीय स्रोत का उल्लेख नहीं है। इसलिए इस दावे को सत्यापित किए बिना साझा नहीं किया जाना चाहिए.,Hindi,Fake
